,Netiesioginiu būdu sudaromos  ataskaitos forma,,,
"UAB ""Kauno vandenys"", 132751369",,,,
,,,,
"(įmonės teisinė forma, pavadinimas, kodas)",,,,
"Kaunas, Aukštaičių g.43, duomenys apie įmonę kaupiami ir saugomi LR Juridinių asmenų registre",,,,
"(buveinė (adresas), registras, kuriame kaupiami ir saugomi duomenys)",,,,
,,,,
,,,,(Tvirtinimo žyma)
2016 M. GRUODŽIO 31 D. PINIGŲ SRAUTŲ ATASKAITA,,,,
 2017 03 06 Nr. _____,,,,
(ataskaitos sudarymo data),,,,
2016 01 01 - 2016 12 31,,,,Eurais
            (ataskaitinis laikotarpis),,,(ataskaitos tikslumo lygis ir valiuta),
Eil. Nr.,Straipsniai,Pasta-bos Nr.,Ataskaitinis laikotarpis,Praėjęs ataskaitinis laikotarpis
1.,Pagrindinės veiklos pinigų srautai,,,
1.1.,Grynasis pelnas (nuostoliai),, 1343943 , 1168938 
1.2.,Nusidėvėjimo ir amortizacijos sąnaudos,, 6916863 , 6594486 
1.3.,Ilgalaikio materialiojo ir nematerialiojo turto perleidimo rezultatų eliminavimas,,,
1.4.,Finansinės ir investicinės veiklos rezultatų eliminavimas,, 54544 , 283909 
1.5.,Kitų nepiniginių sandorių rezultatų eliminavimas,, 198441 , (7726)
1.6.,Iš įmonių grupės įmonių ir asocijuotųjų įmonių gautinų sumų sumažėjimas (padidėjimas),,,
1.7.,Kitų po vienų metų gautinų sumų sumažėjimas (padidėjimas) ,,,
1.8.,Atidėtojo pelno mokesčio turto sumažėjimas (padidėjimas),,,
1.9.,"Atsargų, išskyrus sumokėtus avansus, sumažėjimas (padidėjimas) ",, 77997 , 45099 
1.10.,Sumokėtų avansų sumažėjimas (padidėjimas) ,, 113830 , (96581)
1.11.,Pirkėjų skolų sumažėjimas (padidėjimas) ,, (64734), (222537)
1.12.,Įmonių grupės įmonių ir asocijuotųjų įmonių skolų sumažėjimas (padidėjimas) ,,,
1.13.,Kitų gautinų sumų sumažėjimas (padidėjimas),, (39842), 190396 
1.14.,Trumpalaikių investicijų sumažėjimas (padidėjimas) ,, 1295051 , 374725 
1.15.,Ateinančių laikotarpių sąnaudų ir sukauptų pajamų sumažėjimas (padidėjimas),, (19145),
1.16.,Atidėjinių padidėjimas (sumažėjimas),, (5783), 357011 
1.17.,Ilgalaikių skolų tiekėjams ir gautų avansų padidėjimas (sumažėjimas),,,
1.18.,Pagal vekselius ir čekius po vienų metų mokėtinų sumų padidėjimas (sumažėjimas),,,
1.19.,Ilgalaikių skolų įmonių grupės įmonėms ir asocijuotosioms įmonėms padidėjimas (sumažėjimas),,,
1.20.,Trumpalaikių skolų tiekėjams ir gautų avansų padidėjimas (sumažėjimas),, (108911), (312788)
1.21.,Pagal vekselius ir čekius per vienus metus mokėtinų sumų padidėjimas (sumažėjimas),,,
1.22.,Trumpalaikių skolų įmonių grupės įmonėms ir asocijuotosioms įmonėms padidėjimas (sumažėjimas),,,
1.23.,Pelno mokesčio įsipareigojimų padidėjimas (sumažėjimas),, 141446 , (25234)
1.24.,Su darbo santykiais susijusių įsipareigojimų padidėjimas (sumažėjimas),, 25028 , 30844 
1.25.,Kitų mokėtinų sumų ir įsipareigojimų padidėjimas (sumažėjimas),, (10352), 288740 
1.26.,Sukauptų sąnaudų ir ateinančių laikotarpių pajamų padidėjimas (sumažėjimas) ,,,
,Grynieji pagrindinės veiklos pinigų srautai,, 9918376 , 8669282 
2.,Investicinės veiklos pinigų srautai,,,
2.1.,"Ilgalaikio turto, išskyrus investicijas, įsigijimas ",, (3557967), (11257021)
2.2.,"Ilgalaikio turto, išskyrus investicijas, perleidimas",, 12900 , 29716 
2.3.,Ilgalaikių investicijų įsigijimas ,,,
2.4.,Ilgalaikių investicijų perleidimas,,, 275029 
2.5.,Paskolų suteikimas,,,
2.6.,Paskolų susigrąžinimas,,,
2.7.,"Gauti dividendai, palūkanos",, 767 , 16408 
2.8.,Kitas investicinės veiklos pinigų srautų padidėjimas ,,,
2.9.,Kitas investicinės veiklos pinigų srautų sumažėjimas,,,
,Grynieji investicinės veiklos pinigų srautai,, (3544300), (10935868)
3.,Finansinės veiklos pinigų srautai,,,
3.1.,"Pinigų srautai, susiję su įmonės savininkais",, -   , -   
3.1.1.,Akcijų išleidimas,,,
3.1.2.,Savininkų įnašai nuostoliams padengti,,,
3.1.3.,Savų akcijų supirkimas ,,,
3.1.4.,Dividendų išmokėjimas ,,,
3.2.,"Pinigų srautai, susiję su kitais finansavimo šaltiniais",, (1022134), (488530)
3.2.1.,Finansinių skolų padidėjimas ,, -   , 203089 
3.2.1.1.,Paskolų gavimas ,,, 203089 
3.2.1.2.,Obligacijų išleidimas,,,
3.2.2.,Finansinių skolų sumažėjimas,, (132831), (7028510)
3.2.2.1.,Paskolų grąžinimas,, (77520), (6728193)
3.2.2.2.,Obligacijų supirkimas,,,
3.2.2.3.,Sumokėtos palūkanos ,, (55311), (300317)
3.2.2.4.,Lizingo (finansinės nuomos) mokėjimai ,,,
3.2.3.,Kitų įmonės įsipareigojimų padidėjimas ,,,
3.2.4.,Kitų įmonės įsipareigojimų sumažėjimas,,,
3.2.5.,Kitas finansinės veiklos pinigų srautų padidėjimas ,,, 6372273 
3.2.6.,Kitas finansinės veiklos pinigų srautų sumažėjimas,, (889303), (35382)
,Grynieji finansinės veiklos pinigų srautai,, (1022134), (488530)
4.,Valiutų kursų pokyčio įtaka grynųjų pinigų ir pinigų ekvivalentų likučiui,,,
5.,Grynasis pinigų srautų padidėjimas (sumažėjimas),, 5351942 , (2755116)
6.,Pinigai ir pinigų ekvivalentai laikotarpio pradžioje,, 2460776 , 5215892 
7.,Pinigai ir pinigų ekvivalentai laikotarpio pabaigoje,, 7812718 , 2460776 
,,,,
L.e.generalinio direktoriaus pareigas,,_________________,,Vilius Burokas
(įmonės vadovo pareigų pavadinimas),,       (parašas),,(vardas ir pavardė)      
Vyriausioji finansininkė,,_________________,,Daiva Vėberienė
(vyriausiojo buhalterio (buhalterio) arba galinčio ,, (parašas) ,                   (vardas ir pavardė),
tvarkyti apskaitą kito asmens pareigų pavadinimas),,,,
