,,,,Netiesioginiu būdu sudaromos,,,
,,,                ataskaitos forma,,,,
"UAB ""Kauno vandenys""",,,,,,,
,                                                  (įmonės pavadinimas),,,,,,
"132751369, Aukštaičių g.43, Kaunas",,,,,,,
,"                                                  (įmonės kodas, adresas, kiti duomenys)",,,,,,
,,,,,,,
,,,,,,,
,,,,(Tvirtinimo žyma),,,
,,,,,,,
,,,,,,,
2013 m. gruodžio 31 d. PINIGŲ SRAUTŲ ATASKAITA,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2013 01 01  - 2013 12 31,,,,tūkst.Lt,,,
            (ataskaitinis laikotarpis),,,(ataskaitos tikslumo lygis ir valiuta),,,,
Eil. Nr.,Straipsniai,Pasta-bos Nr.,Finansiniai metai  ,Praėję finansiniai metai,,,
I.,Pagrindinės veiklos pinigų srautai,,,,,,
I.1.,Grynasis pelnas (nuostoliai),, 2122 , (684),,,
I.2.,Nusidėvėjimo ir amortizacijos sąnaudos,, 21928 , 21645 ,,,
I.3.,Po vienerių metų gautinų sumų (padidėjimas) sumažėjimas,,,,,,
I.4.,Atsargų (padidėjimas) sumažėjimas,, (16), 152 ,,,
I.5.,Išankstinių apmokėjimų (padidėjimas) sumažėjimas ,, (21), (81),,,
I.6.,Nebaigtų vykdyti sutarčių (padidėjimas) sumažėjimas ,,,,,,
I.7.,Pirkėjų įsiskolinimo (padidėjimas) sumažėjimas,, (903), (822),,,
I.8.,Dukterinių ir asocijuotų įmonių skolų (padidėjimas) sumažėjimas,,,,,,
I.9.,Kitų gautinų sumų (padidėjimas) sumažėjimas,, (863), 2218 ,,,
I.10.,Kito trumpalaikio turto (padidėjimas) sumažėjimas,, 108 , (477),,,
I.11. ,Ilgalaikių skolų tiekėjams ir gautų išankstinių apmokėjimų padidėjimas (sumažėjimas),,,,,,
I.12.,Trumpalaikių skolų tiekėjams ir gautų išankstinių apmokėjimų padidėjimas (sumažėjimas),, 1964 , 2624 ,,,
I.13.,Pelno mokesčio įsipareigojimų padidėjimas (sumažėjimas),, 284 ,,,,
I.14.,Su darbo santykiais susijusių įsipareigojimų padidėjimas (sumažėjimas),, 544 , 302 ,,,
I.15.,Atidėjinių padidėjimas (sumažėjimas),, 294 , 240 ,,,
I.16.,Kitų mokėtinų sumų ir įsipareigojimų padidėjimas (sumažėjimas),, 365 , (3189),,,
I.17.,Ilgalaikio materialiojo ir nematerialiojo turto perleidimo rezultatų eliminavimas,,,,,,
I.18.,Finansinės ir investicinės veiklos rezultatų eliminavimas ,, 1168 , 1827 ,,,
I.19.,Kitų nepiniginių straipsnių eliminavimas,, 9 , 15 ,,,
,Grynieji pagrindinės veiklos pinigų srautai,, 26983 , 23770 ,,,
II.,Investicinės veiklos pinigų srautai,,,,,,
II.1.,Ilgalaikio turto (išskyrus investicijas) įsigijimas ,, (33295), (28362),,,
II.2.,Ilgalaikio turto (išskyrus investicijas) perleidimas,,, 49 ,,,
II.3.,Ilgalaikių investicijų įsigijimas ,,, (1001),,,
II.4.,Ilgalaikių investicijų perleidimas,,,,,,
II.5.,Paskolų suteikimas,,,,,,
II.6.,Paskolų susigrąžinimas,,,,,,
II.7.,"Gauti dividendai, palūkanos",, 83 , 124 ,,,
II.8.,Kiti investicinės veiklos pinigų srautų padidėjimai ,,,,,,
II.9.,Kiti investicinės veiklos pinigų srautų sumažėjimai,,,,,,
,Grynieji investicinės veiklos pinigų srautai,, (33212), (29190),,,
III.,Finansinės veiklos pinigų srautai,,,,,,
III.1.,"Pinigų srautai, susiję su įmonės savininkais",, 1837 , -   ,,,
III.1.1.,Akcijų išleidimas,, 1837 ,,,,
III.1.2.,Savininkų įnašai nuostoliams padengti,,,,,,
III.1.3.,Savų akcijų supirkimas ,,,,,,
III.1.4.,Dividendų išmokėjimas ,,,,,,
III.2.,"Pinigų srautai, susiję su kitais finansavimo šaltiniais",, 4035 , 7545 ,,,
III.2.1.,Finansinių skolų padidėjimas ,, 259 , 1062 ,,,
III.2.1.1.,Paskolų gavimas ,, 259 , 1062 ,,,
III.2.1.2.,Obligacijų išleidimas,,,,,,
III.2.2.,Finansinių skolų sumažėjimas,, (9937), (10665),,,
III.2.2.1.,Paskolų grąžinimas,, (8395), (8395),,,
III.2.2.2.,Obligacijų supirkimas,,,,,,
III.2.2.3.,Sumokėtos palūkanos ,, (1230), (1947),,,
III.2.2.4.,Lizingo (finansinės nuomos) mokėjimai ,, (312), (323),,, -   
III.2.3.,Kitų įmonės įsipareigojimų padidėjimas ,,,,,,
III.2.4.,Kitų įmonės įsipareigojimų sumažėjimas,,,,,,
III.2.5.,Kiti finansinės veiklos pinigų srautų padidėjimai ,, 13713 , 17148 ,,,
III.2.6.,Kiti finansinės veiklos pinigų srautų sumažėjimai,,,,,,
,Grynieji finansinės veiklos pinigų srautai,, 5872 , 7545 ,,,
IV.,Valiutų kursų pasikeitimo įtaka grynųjų pinigų ir pinigų ekvivalentų likučiui,,, (5),,,
V.,Grynasis pinigų srautų padidėjimas (sumažėjimas),, (357), 2120 ,,,
VI.,Pinigai ir pinigų ekvivalentai laikotarpio pradžioje,, 11462 , 9342 ,,,
VII.,Pinigai ir pinigų ekvivalentai laikotarpio pabaigoje,, 11105 , 11462 ,,,
,,,,,,,
Generalinis direktorius,,_________________,,Linas Baltrėnas,,,
(įmonės vadovo pareigų pavadinimas),,,,(vardas ir pavardė)      ,,,
,,,,,,,
