,,,,
,,Pelno (nuostolių) ataskaitos forma,,
,,,,
,,,,
"UAB ""Kauno vandenys"", 132751369",,,,
"(įmonės teisinė forma, pavadinimas, kodas)",,,,
,,,,
"Kaunas, Aukštaičių g.43, duomenys apie įmonę kaupiami ir saugomi LR Juridinių asmenų registre",,,,
"(buveinė (adresas), registras, kuriame kaupiami ir saugomi duomenys)",,,,
,,,,
,,,,
,,,,
,,, (Tvirtinimo žyma) ,
,,,,
,,,,
2017 M. GRUODŽIO 31 D. PELNO (NUOSTOLIŲ) ATASKAITA,,,,
2018 02 28 Nr. _____,,,,
(ataskaitos sudarymo data),,,,
,,,,
,2017 01 01 -  2017 12 31,, Eurais ,
,(ataskaitinis laikotarpis),,(ataskaitos tikslumo lygis ir valiuta),
Eil. Nr.,Straipsniai,Pastabos Nr., Ataskaitinis laikotarpis        , Praėjęs ataskaitinis laikotarpis            
1.,Pardavimo pajamos ,, 23337048 , 22906625 
2.,Pardavimo savikaina,15, (19226110), (18983414)
3.,Biologinio turto tikrosios vertės pokytis ,,,
4.,BENDRASIS PELNAS (NUOSTOLIAI),, 4110938 , 3923211 
5.,Pardavimo sąnaudos,,,
6.,Bendrosios ir administracinės sąnaudos,16, (2517039), (2539496)
7.,Kitos veiklos rezultatai,17, 37111 , 75414 
8.,"Investicijų į patronuojančiosios, patronuojamųjų ir asocijuotųjų įmonių akcijas pajamos",,,
9.,Kitų ilgalaikių investicijų ir paskolų pajamos,,,
10.,Kitos palūkanų ir panašios pajamos,18, 41700 , 375437 
11.,Finansinio turto ir trumpalaikių investicijų vertės sumažėjimas,,,
12.,Palūkanų ir kitos panašios sąnaudos,18, (12290), (224523)
13.,PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ,, 1660420 , 1610043 
14.,Pelno mokestis,19, (215610), (238922)
15.,GRYNASIS PELNAS (NUOSTOLIAI),, 1444810 , 1371121 
Pastaba. Biologinio turto tikrosios vertės pokyčio eilutėje tikrosios vertės sumažėjimas rodomas skliaustuose arba su minuso ,,,,
"ženklu. Sąnaudos, t. y. grynąjį pelną mažinanti suma, įrašomos skliaustuose arba su minuso ženklu.",,,,
,,,,
,Generalinis direktorius, _______________ ,,Vilius Burokas
(įmonės vadovo pareigų pavadinimas),, (parašas) ,,(vardas ir pavardė)
,,,,
,Vyriausioji finansininkė, _______________ ,,Daiva Vėberienė
(vyriausiojo buhalterio (buhalterio) arba galinčio ,, (parašas) ,,(vardas ir pavardė)
tvarkyti apskaitą kito asmens pareigų pavadinimas),,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,, . ,
